# STR_XXXX part is read and XXXX becomes the string id number.
# Everything after the colon and before the new line will be saved as the string.
# Use # at the beginning of a line to leave a comment.
STR_0028    :Statek piracki
STR_0030    :Budka z jedzeniem
STR_0032    :Budka z napojami
STR_0034    :Stoisko
STR_0037    :Punkt informacyjny
STR_0038    :Toalety
STR_0041    :Kino 3D
STR_0047    :Bankomat
STR_0050    :Punkt pierwszej pomocy
STR_0603    :Gość {INT32}
STR_0604    :Gość {INT32}
STR_0605    :Gość {INT32}
STR_0606    :Gość {INT32}
STR_0607    :Gość {INT32}
STR_0608    :Gość {INT32}
STR_0609    :Gość {INT32}
STR_0610    :Gość {INT32}
STR_0611    :Gość {INT32}
STR_0612    :Gość {INT32}
STR_0613    :Gość {INT32}
STR_0614    :Gość {INT32}
STR_0615    :Gość {INT32}
STR_0616    :Gość {INT32}
STR_0617    :Gość {INT32}
STR_0618    :Gość {INT32}
STR_0619    :Gość {INT32}
STR_0620    :Gość {INT32}
STR_0621    :Gość {INT32}
STR_0622    :Gość {INT32}
STR_0623    :Gość {INT32}
STR_0624    :Gość {INT32}
STR_0625    :Gość {INT32}
STR_0626    :Gość {INT32}
STR_0627    :Gość {INT32}
STR_0628    :Gość {INT32}
STR_0629    :Gość {INT32}
STR_0630    :Gość {INT32}
STR_0631    :Gość {INT32}
STR_0632    :Gość {INT32}
STR_0633    :Gość {INT32}
STR_0634    :Gość {INT32}
STR_0635    :Gość {INT32}
STR_0636    :Gość {INT32}
STR_0637    :Gość {INT32}
STR_0638    :Gość {INT32}
STR_0639    :Gość {INT32}
STR_0640    :Gość {INT32}
STR_0641    :Gość {INT32}
STR_0642    :Gość {INT32}
STR_0643    :Gość {INT32}
STR_0644    :Gość {INT32}
STR_0645    :Gość {INT32}
STR_0646    :Gość {INT32}
STR_0647    :Gość {INT32}
STR_0648    :Gość {INT32}
STR_0649    :Gość {INT32}
STR_0650    :Gość {INT32}
STR_0651    :Gość {INT32}
STR_0652    :Gość {INT32}
STR_0653    :Gość {INT32}
STR_0654    :Gość {INT32}
STR_0655    :Gość {INT32}
STR_0656    :Gość {INT32}
STR_0657    :Gość {INT32}
STR_0658    :Gość {INT32}
STR_0659    :Gość {INT32}
STR_0660    :Gość {INT32}
STR_0661    :Gość {INT32}
STR_0662    :Gość {INT32}
STR_0663    :Gość {INT32}
STR_0664    :Gość {INT32}
STR_0665    :Gość {INT32}
STR_0666    :Gość {INT32}
STR_0667    :Gość {INT32}
STR_0668    :Gość {INT32}
STR_0669    :Gość {INT32}
STR_0670    :Gość {INT32}
STR_0671    :Gość {INT32}
STR_0672    :Gość {INT32}
STR_0673    :Gość {INT32}
STR_0674    :Gość {INT32}
STR_0675    :Gość {INT32}
STR_0676    :Gość {INT32}
STR_0677    :Gość {INT32}
STR_0678    :Gość {INT32}
STR_0679    :Gość {INT32}
STR_0680    :Gość {INT32}
STR_0681    :Gość {INT32}
STR_0682    :Gość {INT32}
STR_0683    :Gość {INT32}
STR_0684    :Gość {INT32}
STR_0685    :Gość {INT32}
STR_0686    :Gość {INT32}
STR_0687    :Gość {INT32}
STR_0688    :Gość {INT32}
STR_0689    :Gość {INT32}
STR_0690    :Gość {INT32}
STR_0691    :Gość {INT32}
STR_0692    :Gość {INT32}
STR_0693    :Gość {INT32}
STR_0694    :Gość {INT32}
STR_0695    :Gość {INT32}
STR_0696    :Gość {INT32}
STR_0697    :Gość {INT32}
STR_0698    :Gość {INT32}
STR_0699    :Gość {INT32}
STR_0700    :Gość {INT32}
STR_0701    :Gość {INT32}
STR_0702    :Gość {INT32}
STR_0703    :Gość {INT32}
STR_0704    :Gość {INT32}
STR_0705    :Gość {INT32}
STR_0706    :Gość {INT32}
STR_0707    :Gość {INT32}
STR_0708    :Gość {INT32}
STR_0709    :Gość {INT32}
STR_0710    :Gość {INT32}
STR_0711    :Gość {INT32}
STR_0712    :Gość {INT32}
STR_0713    :Gość {INT32}
STR_0714    :Gość {INT32}
STR_0715    :Gość {INT32}
STR_0716    :Gość {INT32}
STR_0717    :Gość {INT32}
STR_0718    :Gość {INT32}
STR_0719    :Gość {INT32}
STR_0720    :Gość {INT32}
STR_0721    :Gość {INT32}
STR_0722    :Gość {INT32}
STR_0723    :Gość {INT32}
STR_0724    :Gość {INT32}
STR_0725    :Gość {INT32}
STR_0726    :Gość {INT32}
STR_0727    :Gość {INT32}
STR_0728    :Gość {INT32}
STR_0729    :Gość {INT32}
STR_0730    :Gość {INT32}
STR_0731    :Gość {INT32}
STR_0732    :Gość {INT32}
STR_0733    :Gość {INT32}
STR_0734    :Gość {INT32}
STR_0735    :Gość {INT32}
STR_0736    :Gość {INT32}
STR_0737    :Gość {INT32}
STR_0738    :Gość {INT32}
STR_0739    :Gość {INT32}
STR_0740    :Gość {INT32}
STR_0741    :Gość {INT32}
STR_0742    :Gość {INT32}
STR_0743    :Gość {INT32}
STR_0744    :Gość {INT32}
STR_0745    :Gość {INT32}
STR_0746    :Gość {INT32}
STR_0747    :Gość {INT32}
STR_0748    :Gość {INT32}
STR_0749    :Gość {INT32}
STR_0750    :Gość {INT32}
STR_0751    :Gość {INT32}
STR_0752    :Gość {INT32}
STR_0753    :Gość {INT32}
STR_0754    :Gość {INT32}
STR_0755    :Gość {INT32}
STR_0756    :Gość {INT32}
STR_0757    :Gość {INT32}
STR_0758    :Gość {INT32}
STR_0759    :Gość {INT32}
STR_0760    :Gość {INT32}
STR_0761    :Gość {INT32}
STR_0762    :Gość {INT32}
STR_0763    :Gość {INT32}
STR_0764    :Gość {INT32}
STR_0765    :Gość {INT32}
STR_0766    :Gość {INT32}
STR_0767    :Gość {INT32}
STR_0768    :Dozorca {INT32}
STR_0769    :Mechanik {INT32}
STR_0770    :Strażnik {INT32}
STR_0771    :Komik {INT32}
STR_0772    :Park bez nazwy{POP16}{POP16}
STR_0773    :Park bez nazwy{POP16}{POP16}
STR_0774    :Park bez nazwy{POP16}{POP16}
STR_0775    :Park bez nazwy{POP16}{POP16}
STR_0776    :Park bez nazwy{POP16}{POP16}
STR_0777    :Park bez nazwy{POP16}{POP16}
STR_0778    :Znak
STR_0779    :1
STR_0780    :2
STR_0781    :3
STR_0782    :4
STR_0783    :5
